wl,n
3000000,6.526192893
2727272.727,6.289699287
2500000,6.082295908
2307692.308,5.898399127
2142857.143,5.733826288
2000000,5.585372769
1875000,5.450535548
1764705.882,5.327326788
1666666.667,5.214144688
1578947.368,5.109681882
1500000,5.012859127
1428571.429,4.922776402
1363636.364,4.838676266
1304347.826,4.759915982
1250000,4.685946049
1200000,4.616293445
1153846.154,4.55054843
1111111.111,4.488354022
1071428.571,4.429397551
1034482.759,4.373403803
1000000,4.320129427
967741.9355,4.269358328
937500,4.22089785
909090.9091,4.174575596
882352.9412,4.130236762
857142.8571,4.087741882
833333.3333,4.046964928
810810.8108,4.007791678
789473.6842,3.970118333
769230.7692,3.933850314
750000,3.898901239
731707.3171,3.865192023
714285.7143,3.832650104
697674.4186,3.801208765
681818.1818,3.770806542
666666.6667,3.741386696
652173.913,3.712896762
638297.8723,3.685288138
625000,3.658515727
612244.898,3.632537616
600000,3.607314794
588235.2941,3.582810896
576923.0769,3.558991978
566037.7358,3.53582631
555555.5556,3.513284196
545454.5455,3.491337806
535714.2857,3.469961029
526315.7895,3.44912934
517241.3793,3.428819674
508474.5763,3.409010319
500000,3.389680814
491803.2787,3.370811858
483870.9677,3.352385224
476190.4762,3.334383688
468750,3.316790956
461538.4615,3.299591598
454545.4545,3.282770994
447761.194,3.266315277
441176.4706,3.250211287
434782.6087,3.23444652
428571.4286,3.219009092
422535.2113,3.203887695
416666.6667,3.189071564
410958.9041,3.174550446
405405.4054,3.160314564
400000,3.146354591
394736.8421,3.132661627
389610.3896,3.119227169
384615.3846,3.10604309
379746.8354,3.09310162
375000,3.080395323
370370.3704,3.067917082
365853.6585,3.055660078
361445.7831,3.043617776
357142.8571,3.03178391
352941.1765,3.020152469
348837.2093,3.008717682
344827.5862,2.997474009
340909.0909,2.986416125
337078.6517,2.975538915
333333.3333,2.964837456
329670.3297,2.954307015
326086.9565,2.943943036
322580.6452,2.93374113
319148.9362,2.923697073
315789.4737,2.913806791
312500,2.904066358
309278.3505,2.894471989
306122.449,2.885020029
303030.303,2.875706954
300000,2.866529359
,
wl,k
3000000,2.29910761
2727272.727,2.261711754
2500000,2.227864917
2307692.308,2.196974318
2142857.143,2.168582886
2000000,2.142330937
1875000,2.117930466
1764705.882,2.095147369
1666666.667,2.073788845
1578947.368,2.053694266
1500000,2.034728426
1428571.429,2.016776475
1363636.364,1.999740049
1304347.826,1.983534269
1250000,1.968085404
1200000,1.953329004
1153846.154,1.939208418
1111111.111,1.925673589
1071428.571,1.912680074
1034482.759,1.900188241
1000000,1.888162602
967741.9355,1.876571256
937500,1.865385428
909090.9091,1.854579073
882352.9412,1.844128542
857142.8571,1.834012303
833333.3333,1.824210694
810810.8108,1.814705713
789473.6842,1.805480841
769230.7692,1.79652088
750000,1.78781182
731707.3171,1.779340718
714285.7143,1.771095594
697674.4186,1.763065335
681818.1818,1.755239619
666666.6667,1.747608837
652173.913,1.740164034
638297.8723,1.732896846
625000,1.725799455
612244.898,1.718864539
600000,1.712085232
588235.2941,1.70545509
576923.0769,1.698968053
566037.7358,1.692618416
555555.5556,1.686400806
545454.5455,1.680310152
535714.2857,1.674341667
526315.7895,1.668490823
517241.3793,1.662753337
508474.5763,1.657125151
500000,1.651602418
491803.2787,1.646181488
483870.9677,1.640858892
476190.4762,1.635631335
468750,1.63049568
461538.4615,1.625448942
454545.4545,1.620488275
447761.194,1.615610966
441176.4706,1.610814426
434782.6087,1.606096184
428571.4286,1.601453877
422535.2113,1.596885245
416666.6667,1.592388129
410958.9041,1.587960457
405405.4054,1.58360025
400000,1.579305605
394736.8421,1.575074702
389610.3896,1.57090579
384615.3846,1.566797193
379746.8354,1.562747295
375000,1.558754548
370370.3704,1.554817461
365853.6585,1.550934599
361445.7831,1.547104582
357142.8571,1.543326081
352941.1765,1.539597815
348837.2093,1.53591855
344827.5862,1.532287094
340909.0909,1.528702301
337078.6517,1.525163062
333333.3333,1.521668307
329670.3297,1.518217003
326086.9565,1.514808152
322580.6452,1.511440788
319148.9362,1.508113978
315789.4737,1.50482682
312500,1.501578441
309278.3505,1.498367996
306122.449,1.495194664
303030.303,1.492057655
300000,1.4889562
