wl,n
3000000,6.691565064
2727272.727,6.688104009
2500000,6.684326355
2307692.308,6.680235566
2142857.143,6.675835366
2000000,6.671129735
1875000,6.666122899
1764705.882,6.660819316
1666666.667,6.655223669
1578947.368,6.649340856
1500000,6.643175977
1428571.429,6.636734321
1363636.364,6.630021359
1304347.826,6.623042728
1250000,6.615804222
1200000,6.608311778
1153846.154,6.600571466
1111111.111,6.592589472
1071428.571,6.584372092
1034482.759,6.575925717
1000000,6.567256822
967741.9355,6.558371952
937500,6.549277712
909090.9091,6.539980757
882352.9412,6.530487779
857142.8571,6.520805495
833333.3333,6.510940639
810810.8108,6.500899952
789473.6842,6.490690167
769230.7692,6.480318007
750000,6.46979017
731707.3171,6.459113321
714285.7143,6.448294087
697674.4186,6.437339043
681818.1818,6.426254711
666666.6667,6.415047549
652173.913,6.403723942
638297.8723,6.392290203
625000,6.380752558
612244.898,6.369117148
600000,6.35739002
588235.2941,6.345577121
576923.0769,6.333684299
566037.7358,6.321717294
555555.5556,6.309681735
545454.5455,6.29758314
535714.2857,6.285426911
526315.7895,6.273218331
517241.3793,6.260962563
508474.5763,6.248664647
500000,6.236329501
491803.2787,6.223961918
483870.9677,6.211566562
476190.4762,6.199147976
468750,6.186710571
461538.4615,6.174258636
454545.4545,6.161796331
447761.194,6.149327688
441176.4706,6.136856616
434782.6087,6.124386899
428571.4286,6.111922194
422535.2113,6.099466038
416666.6667,6.087021844
410958.9041,6.074592907
405405.4054,6.062182402
400000,6.049793385
394736.8421,6.037428799
389610.3896,6.025091472
384615.3846,6.012784121
379746.8354,6.000509353
375000,5.988269667
370370.3704,5.976067457
365853.6585,5.963905012
361445.7831,5.951784523
357142.8571,5.93970808
352941.1765,5.927677676
348837.2093,5.91569521
344827.5862,5.903762492
340909.0909,5.891881238
337078.6517,5.880053079
333333.3333,5.868279561
329670.3297,5.856562148
326086.9565,5.844902222
322580.6452,5.833301089
319148.9362,5.821759977
315789.4737,5.810280044
312500,5.798862373
309278.3505,5.787507981
306122.449,5.776217818
303030.303,5.764992768
300000,5.753833654
,
wl,k
3000000,0.272163011
2727272.727,0.29899071
2500000,0.325708967
2307692.308,0.352308542
2142857.143,0.378780374
2000000,0.405115592
1875000,0.431305524
1764705.882,0.457341715
1666666.667,0.483215927
1578947.368,0.508920157
1500000,0.534446641
1428571.429,0.559787864
1363636.364,0.584936565
1304347.826,0.609885746
1250000,0.634628674
1200000,0.659158891
1153846.154,0.683470213
1111111.111,0.707556737
1071428.571,0.731412843
1034482.759,0.755033193
1000000,0.778412737
967741.9355,0.801546709
937500,0.824430631
909090.9091,0.84706031
882352.9412,0.869431836
857142.8571,0.891541582
833333.3333,0.9133862
810810.8108,0.93496262
789473.6842,0.956268043
769230.7692,0.977299942
750000,0.998056051
731707.3171,1.018534367
714285.7143,1.038733141
697674.4186,1.058650873
681818.1818,1.078286306
666666.6667,1.097638421
652173.913,1.11670643
638297.8723,1.135489769
625000,1.153988091
612244.898,1.172201262
600000,1.190129348
588235.2941,1.207772615
576923.0769,1.225131516
566037.7358,1.242206688
555555.5556,1.258998941
545454.5455,1.275509252
535714.2857,1.291738759
526315.7895,1.307688753
517241.3793,1.32336067
508474.5763,1.338756084
500000,1.353876701
491803.2787,1.36872435
483870.9677,1.383300978
476190.4762,1.397608642
468750,1.411649505
461538.4615,1.425425824
454545.4545,1.438939949
447761.194,1.452194314
441176.4706,1.465191432
434782.6087,1.47793389
428571.4286,1.49042434
422535.2113,1.502665497
416666.6667,1.514660131
410958.9041,1.526411064
405405.4054,1.537921163
400000,1.549193338
394736.8421,1.560230535
389610.3896,1.57103573
384615.3846,1.581611928
379746.8354,1.59196216
375000,1.602089473
370370.3704,1.611996932
365853.6585,1.621687615
361445.7831,1.631164608
357142.8571,1.640431002
352941.1765,1.649489893
348837.2093,1.658344375
344827.5862,1.666997539
340909.0909,1.675452472
337078.6517,1.683712251
333333.3333,1.691779943
329670.3297,1.699658603
326086.9565,1.707351272
322580.6452,1.714860972
319148.9362,1.722190708
315789.4737,1.729343466
312500,1.736322208
309278.3505,1.743129875
306122.449,1.749769383
303030.303,1.75624362
300000,1.762555451
