wl,n
3000000,6.323346054
2727272.727,6.323092309
2500000,6.322814477
2307692.308,6.32251258
2142857.143,6.322186642
2000000,6.321836688
1875000,6.321462745
1764705.882,6.321064843
1666666.667,6.320643013
1578947.368,6.320197287
1500000,6.3197277
1428571.429,6.319234288
1363636.364,6.31871709
1304347.826,6.318176146
1250000,6.317611498
1200000,6.317023189
1153846.154,6.316411265
1111111.111,6.315775773
1071428.571,6.315116763
1034482.759,6.314434284
1000000,6.313728389
967741.9355,6.312999134
937500,6.312246573
909090.9091,6.311470764
882352.9412,6.310671766
857142.8571,6.309849642
833333.3333,6.309004452
810810.8108,6.308136263
789473.6842,6.307245139
769230.7692,6.306331149
750000,6.305394361
731707.3171,6.304434848
714285.7143,6.30345268
697674.4186,6.302447932
681818.1818,6.30142068
666666.6667,6.300371001
652173.913,6.299298974
638297.8723,6.298204679
625000,6.297088197
612244.898,6.295949613
600000,6.294789009
588235.2941,6.293606474
576923.0769,6.292402093
566037.7358,6.291175957
555555.5556,6.289928155
545454.5455,6.28865878
535714.2857,6.287367925
526315.7895,6.286055683
517241.3793,6.284722151
508474.5763,6.283367426
500000,6.281991607
491803.2787,6.280594793
483870.9677,6.279177085
476190.4762,6.277738585
468750,6.276279397
461538.4615,6.274799625
454545.4545,6.273299376
447761.194,6.271778755
441176.4706,6.270237872
434782.6087,6.268676836
428571.4286,6.267095756
422535.2113,6.265494745
416666.6667,6.263873914
410958.9041,6.262233378
405405.4054,6.26057325
400000,6.258893647
394736.8421,6.257194685
389610.3896,6.255476482
384615.3846,6.253739155
379746.8354,6.251982825
375000,6.250207611
370370.3704,6.248413635
365853.6585,6.246601019
361445.7831,6.244769885
357142.8571,6.242920357
352941.1765,6.241052561
348837.2093,6.23916662
344827.5862,6.237262661
340909.0909,6.235340811
337078.6517,6.233401197
333333.3333,6.231443947
329670.3297,6.22946919
326086.9565,6.227477056
322580.6452,6.225467675
319148.9362,6.223441177
315789.4737,6.221397694
312500,6.219337357
309278.3505,6.2172603
306122.449,6.215166654
303030.303,6.213056554
300000,6.210930133
,
wl,k
3000000,0.071392152
2727272.727,0.07852296
2500000,0.08565137
2307692.308,0.092777164
2142857.143,0.099900126
2000000,0.107020039
1875000,0.114136688
1764705.882,0.121249858
1666666.667,0.128359334
1578947.368,0.135464901
1500000,0.142566345
1428571.429,0.149663454
1363636.364,0.156756014
1304347.826,0.163843813
1250000,0.170926639
1200000,0.178004282
1153846.154,0.185076531
1111111.111,0.192143177
1071428.571,0.19920401
1034482.759,0.206258823
1000000,0.213307407
967741.9355,0.220349556
937500,0.227385065
909090.9091,0.234413728
882352.9412,0.241435341
857142.8571,0.248449701
833333.3333,0.255456605
810810.8108,0.262455852
789473.6842,0.269447242
769230.7692,0.276430574
750000,0.283405651
731707.3171,0.290372274
714285.7143,0.297330247
697674.4186,0.304279376
681818.1818,0.311219465
666666.6667,0.318150321
652173.913,0.325071752
638297.8723,0.331983567
625000,0.338885577
612244.898,0.345777592
600000,0.352659426
588235.2941,0.359530892
576923.0769,0.366391805
566037.7358,0.373241981
555555.5556,0.380081239
545454.5455,0.386909397
535714.2857,0.393726275
526315.7895,0.400531695
517241.3793,0.407325479
508474.5763,0.414107453
500000,0.420877441
491803.2787,0.427635271
483870.9677,0.434380771
476190.4762,0.441113772
468750,0.447834104
461538.4615,0.454541601
454545.4545,0.461236096
447761.194,0.467917425
441176.4706,0.474585427
434782.6087,0.481239939
428571.4286,0.487880802
422535.2113,0.494507858
416666.6667,0.50112095
410958.9041,0.507719923
405405.4054,0.514304625
400000,0.520874902
394736.8421,0.527430605
389610.3896,0.533971586
384615.3846,0.540497696
379746.8354,0.547008792
375000,0.553504728
370370.3704,0.559985364
365853.6585,0.566450558
361445.7831,0.572900171
357142.8571,0.579334067
352941.1765,0.585752111
348837.2093,0.592154167
344827.5862,0.598540105
340909.0909,0.604909794
337078.6517,0.611263106
333333.3333,0.617599912
329670.3297,0.623920088
326086.9565,0.630223511
322580.6452,0.636510059
319148.9362,0.642779611
315789.4737,0.649032049
312500,0.655267256
309278.3505,0.661485118
306122.449,0.667685522
303030.303,0.673868355
300000,0.680033508
