wl,n
3000000,7.042416636
2727272.727,7.036487729
2500000,7.030028492
2307692.308,7.023047923
2142857.143,7.015555648
2000000,7.00756189
1875000,6.999077432
1764705.882,6.990113576
1666666.667,6.980682106
1578947.368,6.970795252
1500000,6.960465644
1428571.429,6.949706278
1363636.364,6.938530469
1304347.826,6.926951815
1250000,6.914984155
1200000,6.902641532
1153846.154,6.889938149
1111111.111,6.876888338
1071428.571,6.863506515
1034482.759,6.849807151
1000000,6.835804734
967741.9355,6.821513736
937500,6.806948581
909090.9091,6.792123618
882352.9412,6.777053088
857142.8571,6.761751101
833333.3333,6.746231607
810810.8108,6.730508376
789473.6842,6.714594977
769230.7692,6.698504752
750000,6.682250807
731707.3171,6.665845987
714285.7143,6.649302867
697674.4186,6.632633736
681818.1818,6.615850586
666666.6667,6.598965104
652173.913,6.58198866
638297.8723,6.564932303
625000,6.547806752
612244.898,6.530622395
600000,6.513389285
588235.2941,6.496117136
576923.0769,6.478815323
566037.7358,6.461492884
555555.5556,6.444158516
545454.5455,6.426820582
535714.2857,6.409487113
526315.7895,6.392165807
517241.3793,6.374864037
508474.5763,6.357588854
500000,6.340346994
491803.2787,6.32314488
483870.9677,6.305988631
476190.4762,6.288884069
468750,6.271836722
461538.4615,6.254851835
454545.4545,6.237934372
447761.194,6.221089032
441176.4706,6.204320247
434782.6087,6.187632196
428571.4286,6.171028811
422535.2113,6.154513782
416666.6667,6.13809057
410958.9041,6.121762411
405405.4054,6.105532325
400000,6.089403122
394736.8421,6.073377414
389610.3896,6.057457617
384615.3846,6.041645963
379746.8354,6.025944504
375000,6.01035512
370370.3704,5.99487953
365853.6585,5.979519291
361445.7831,5.964275813
357142.8571,5.949150361
352941.1765,5.934144059
348837.2093,5.919257905
344827.5862,5.904492768
340909.0909,5.889849398
337078.6517,5.875328431
333333.3333,5.860930396
329670.3297,5.846655718
326086.9565,5.832504725
322580.6452,5.818477651
319148.9362,5.804574643
315789.4737,5.790795764
312500,5.777141001
309278.3505,5.763610262
306122.449,5.750203389
303030.303,5.736920154
300000,5.72376027
,
wl,k
3000000,0.366187946
2727272.727,0.401994816
2500000,0.43757485
2307692.308,0.472909706
2142857.143,0.507981598
2000000,0.542773336
1875000,0.57726835
1764705.882,0.61145072
1666666.667,0.645305198
1578947.368,0.67881723
1500000,0.711972975
1428571.429,0.744759315
1363636.364,0.777163871
1304347.826,0.80917501
1250000,0.84078185
1200000,0.871974264
1153846.154,0.902742879
1111111.111,0.933079072
1071428.571,0.962974969
1034482.759,0.992423434
1000000,1.02141806
967741.9355,1.049953159
937500,1.078023745
909090.9091,1.105625521
882352.9412,1.132754864
857142.8571,1.159408802
833333.3333,1.185584998
810810.8108,1.211281728
789473.6842,1.236497858
769230.7692,1.261232827
750000,1.285486617
731707.3171,1.309259734
714285.7143,1.332553184
697674.4186,1.355368447
681818.1818,1.377707453
666666.6667,1.399572561
652173.913,1.420966531
638297.8723,1.441892504
625000,1.462353973
612244.898,1.482354765
600000,1.501899017
588235.2941,1.520991152
576923.0769,1.539635858
566037.7358,1.557838068
555555.5556,1.575602938
545454.5455,1.592935827
535714.2857,1.60984228
526315.7895,1.626328007
517241.3793,1.642398866
508474.5763,1.658060846
500000,1.673320053
491803.2787,1.68818269
483870.9677,1.702655046
476190.4762,1.71674348
468750,1.730454408
461538.4615,1.743794292
454545.4545,1.756769625
447761.194,1.769386923
441176.4706,1.781652714
434782.6087,1.793573524
428571.4286,1.805155875
422535.2113,1.81640627
416666.6667,1.827331188
410958.9041,1.837937078
405405.4054,1.848230347
400000,1.85821736
394736.8421,1.86790443
389610.3896,1.877297814
384615.3846,1.886403707
379746.8354,1.89522824
375000,1.903777474
370370.3704,1.912057398
365853.6585,1.920073923
361445.7831,1.927832882
357142.8571,1.935340028
352941.1765,1.942601026
348837.2093,1.949621459
344827.5862,1.956406823
340909.0909,1.962962521
337078.6517,1.969293871
333333.3333,1.975406097
329670.3297,1.981304334
326086.9565,1.986993623
322580.6452,1.992478914
319148.9362,1.997765064
315789.4737,2.002856839
312500,2.007758911
309278.3505,2.012475862
306122.449,2.01701218
303030.303,2.021372266
300000,2.025560426
