wl,n
2997924.58,21.2004903432037
2725385.98181818,21.197824356012
2498270.48333333,21.194905960806
2306095.83076923,21.1917355638458
2141374.7,21.1883136060211
1998616.38666667,21.1846405626779
1873702.8625,21.1807169434325
1763485.04705882,21.1765432919727
1665513.65555556,21.1721201858458
1577855.04210526,21.1674482362334
1498962.29,21.1625280877147
1427583.13333333,21.1573604180165
1362692.99090909,21.1519459377514
1303445.46956522,21.1462853901436
1249135.24166667,21.1403795507441
1199169.832,21.1342292271322
1153047.91538462,21.1278352586081
1110342.43703704,21.1211985158722
1070687.35,21.114319900695
1033767.09655172,21.1072003455757
999308.193333333,21.0998408133903
967072.44516129,21.09224229703
936851.43125,21.0844058190295
908461.993939394,21.0763324311854
881742.523529412,21.068023214166
856549.88,21.059479277111
832756.827777778,21.0507017572234
810249.886486487,21.0416918193524
788927.521052632,21.0324506555685
768698.61025641,21.0229794847299
749481.145,21.0132795520421
731201.117073171,21.0033521286103
713791.566666667,20.9931985109837
697191.762790698,20.9828200206946
681346.495454545,20.9722180037901
666205.462222222,20.9613938303578
651722.734782609,20.9503488940466
637856.293617021,20.9390846115811
624567.620833333,20.9276024222712
611821.342857143,20.9159037875174
599584.916,20.9039901903108
587828.349019608,20.8918631347297
576523.957692308,20.8795241454316
565646.147169811,20.8669747671426
555171.218518518,20.8542165641426
545077.196363636,20.8412511197486
535343.675,20.8280800357942
525951.680701754,20.8147049321082
516883.548275862,20.8011274459903
508122.810169492,20.7873492316853
499654.096666667,20.773371959856
491463.045901639,20.7591973170553
483536.222580645,20.7448270051971
475861.044444444,20.7302627410273
468425.715625,20.7155062555937
461219.166153846,20.7005592937171
454230.996969697,20.6854236134618
447451.429850746,20.6701009856077
440871.261764706,20.6545931931227
434481.823188406,20.6389020306361
428274.94,20.6230293039144
422242.898591549,20.6069768293381
416378.413888889,20.5907464333806
410674.6,20.5743399520893
405124.943243243,20.5577592305696
399723.277333333,20.5410061224708
394463.760526316,20.5240824894761
389340.854545455,20.5069902007945
384349.305128205,20.4897311326569
379484.124050633,20.4723071678159
374740.5725,20.4547201950486
370114.145679012,20.4369721086642
365600.558536585,20.4190648080156
361195.73253012,20.4010001970152
356895.783333333,20.3827801836555
352697.009411765,20.3644066795343
348595.881395349,20.345881599385
344589.032183908,20.3272068606116
340673.247727273,20.3083843828298
336845.458426966,20.2894160874124
333102.731111111,20.270303897041
329442.261538462,20.2510497352632
325861.367391304,20.2316555260556
322357.48172043,20.2121231933924
318928.146808511,20.1924546608207
315571.008421053,20.1726518510416
312283.810416667,20.1527166854974
309064.389690722,20.1326510839654
305910.671428571,20.1124569641584
302820.664646465,20.0921362413312
299792.458,20.071690827894
296824.215841584,20.0511226330327
293914.174509804,20.0304335623358
291060.638834951,20.009625517428
288261.978846154,19.9887003956106
285516.626666667,19.9676600895097
282823.073584906,19.9465064867301
280179.86728972,19.9252414695172
277585.609259259,19.9038669144258
275038.952293578,19.8823846919954
272538.598181818,19.8607966664335
270083.295495495,19.8391046953053
267671.8375,19.8173106292308
265303.060176991,19.7954163115896
262975.840350877,19.7734235782317
260689.093913043,19.7513342571966
258441.774137931,19.7291501684387
256232.87008547,19.7068731235606
254061.405084746,19.684504925553
251926.435294118,19.6620473685417
249827.048333333,19.6395022375422
247762.361983471,19.6168713082205
245731.52295082,19.5941563466622
243733.705691057,19.571359109147
241768.111290323,19.5484813419318
239833.9664,19.5255247810393
237930.522222222,19.5024911520546
236057.053543307,19.4793821699277
234212.8578125,19.4561995387836
232397.254263566,19.4329449517385
230609.583076923,19.409620090723
228849.204580153,19.3862266263117
227115.498484848,19.3627662175597
225407.863157895,19.3392405118451
223725.714925373,19.3156511447181
222068.487407407,19.2919997397568
220435.630882353,19.2682879084288
218826.611678832,19.2445172499591
217240.911594203,19.2206893512041
215678.027338129,19.1968057865323
214137.47,19.1728681177097
212618.764539007,19.1488778937922
211121.449295775,19.1248366510234
209645.075524475,19.100745912738
208189.206944444,19.0766071892711
206753.419310345,19.0524219778729
205337.3,19.0281917626289
203940.447619048,19.0039180143853
202562.471621622,18.9796021906802
201202.991946309,18.9552457356795
199861.638666667,18.9308500801182
198538.051655629,18.9064166412463
197231.880263158,18.8819468227805
195942.783006536,18.8574420148597
194670.427272727,18.8329035940058
193414.489032258,18.8083329230895
192174.652564103,18.7837313512998
190950.610191083,18.7591002141188
189742.062025316,18.7344408333
188548.71572327,18.7097545168521
187370.28625,18.6850425590259
186206.495652174,18.6603062403056
185057.072839506,18.6355468274045
183921.753374233,18.6107655732644
182800.279268293,18.5859637170582
181692.398787879,18.5611424841976
180597.86626506,18.536303086343
179516.441916168,18.5114467214181
178447.891666667,18.4865745736271
177391.986982248,18.4616878134759
176348.504705882,18.4367875977963
175317.226900585,18.4118750697735
174297.940697674,18.3869513589764
173290.438150289,18.3620175813917
172294.516091954,18.3370748394599
171309.976,18.3121242221153
170336.623863636,18.2871668048275
169374.270056497,18.2622036496469
168422.729213483,18.2372358052519
167481.820111732,18.2122643069989
166551.365555556,18.1872901769749
165631.192265193,18.1623144240521
164721.130769231,18.1373380439455
163821.015300546,18.1123620192717
162930.683695652,18.0873873196108
162049.977297297,18.0624149015697
161178.740860215,18.037445708848
160316.822459893,18.0124806723049
159464.073404255,17.9875207100291
158620.348148148,17.9625667274095
157785.504210526,17.9376196172082
156959.402094241,17.9126802596348
156141.905208333,17.8877495224226
155332.879792746,17.8628282609057
154532.194845361,17.8379173180985
153739.722051282,17.8130175247756
152955.335714286,17.7881296995537
152178.912690355,17.7632546489743
151410.332323232,17.7383931675878
150649.47638191,17.7135460380389
149896.229,17.6887140311528
149150.476616915,17.6638979060222
148412.107920792,17.6390984100961
147681.013793103,17.6143162792686
146957.087254902,17.5895522379691
146240.223414634,17.564806999253
145530.319417476,17.5400812648932
144827.274396135,17.515375725473
144130.989423077,17.490691060478
143441.367464115,17.4660279383905
142758.313333333,17.4413870167834
142081.733649289,17.4167689424144
141411.536792453,17.3921743513215
140747.63286385,17.3676038689186
140089.93364486,17.3430581100907
139438.35255814,17.318537679291
138792.80462963,17.2940431706366
138153.206451613,17.2695751680061
137519.476146789,17.2451342451358
136891.533333333,17.2207209657174
136269.299090909,17.1963358834953
135652.695927602,17.1719795423639
135041.647747748,17.1476524764652
134436.079820628,17.1233552102863
133835.91875,17.0990882587572
133241.092444444,17.0748521273482
132651.530088496,17.0506473121675
132067.162114537,17.0264743000587
131487.920175439,17.0023335686981
130913.737117904,16.978225586692
130344.546956522,16.9541508136736
129780.284848485,16.9301097004001
129220.887068965,16.9061026888493
128666.290987124,16.8821302123159
128116.435042735,16.8581926955077
127571.258723404,16.8342905546419
127030.702542373,16.8104241975401
126494.708016878,16.786594023724
125963.217647059,16.7628004245102
125436.174895397,16.7390437831047
124913.524166667,16.7153244746972
124395.210788382,16.6916428665549
123881.180991736,16.6679993181157
123371.381893004,16.6443941810813
122865.76147541,16.6208277995097
122364.268571429,16.5973005099072
121866.852845528,16.5738126413196
121373.464777328,16.5503645154239
120884.055645161,16.5269564466184
120398.57751004,16.5035887421126
119916.9832,16.4802617020171
119439.226294821,16.4569756194323
118965.261111111,16.4337307805367
118495.042687747,16.4105274646747
118028.526771654,16.3873659444443
117565.669803922,16.3642464857831
117106.42890625,16.3411693480546
116650.761867704,16.3181347841339
116198.627131783,16.2951430404922
115749.983783784,16.2721943572811
115304.791538462,16.2492889684163
114863.010727969,16.2264271016603
114424.602290076,16.2036089787051
113989.527756654,16.1808348152533
113557.749242424,16.1581048210998
113129.229433962,16.1354192002114
112703.931578947,16.112778150807
112281.819475655,16.0901818654367
111862.857462687,16.0676305310597
111447.010408922,16.0451243291221
111034.243703704,16.0226634356342
110624.523247232,16.0002480212465
110217.815441176,15.9778782513256
109814.087179487,15.9555542860287
109413.305839416,15.9332762803783
109015.439272727,15.9110443843357
108620.455797101,15.8888587428737
108228.324187726,15.8667194960488
107839.013669065,15.8446267790729
107452.49390681,15.8225807223838
107068.735,15.8005814517158
106687.70747331,15.7786290881685
106309.382269504,15.7567237482759
105933.730742049,15.7348655440744
105560.724647887,15.71305458317
105190.336140351,15.6912909688051
104822.537762238,15.6695747999244
104457.302439024,15.6479061712402
104094.603472222,15.6262851732967
103734.414532872,15.6047118925344
103376.709655172,15.583186411353
103021.463230241,15.5617088081738
102668.65,15.5402791575019
102318.245051195,15.5188975299871
101970.223809524,15.4975639924846
101624.562033898,15.4762786081145
101281.235810811,15.4550414363215
100940.221548822,15.4338525329327
100601.495973154,15.412711950216
100265.036120401,15.3916197369371
99930.8193333333,15.3705759384158
99598.8232558139,15.3495805965822
99269.0258278146,15.3286337500315
98941.405280528,15.3077354340791
98615.9401315789,15.2868856808139
98292.6091803279,15.266084519152
97971.391503268,15.2453319748893
97652.2664495114,15.2246280707533
97335.2136363636,15.2039728264547
97020.2129449838,15.1833662587381
96707.244516129,15.1628083814321
96396.2887459807,15.1422992054987
96087.3262820513,15.1218387390827
95780.3380191693,15.1014269875595
95475.3050955414,15.0810639535829
95172.2088888889,15.0607496371325
94871.0310126582,15.0404840355599
94571.7533123028,15.0202671436349
94274.3578616352,15.0000989535908
93978.8269592476,14.9799794551687
93685.143125,14.9599086356626
93393.2890965732,14.9398864799623
93103.247826087,14.9199129705967
92815.0024767802,14.8999880877764
92528.5364197531,14.8801118094356
92243.8332307692,14.8602841112733
91960.8766871166,14.8405049667945
91679.650764526,14.8207743473505
91400.1396341463,14.8010922221783
91122.3276595745,14.7814585584402
