wl,n
3000000,9.484831274
2727272.727,9.130295257
2500000,8.82303391
2307692.308,8.553673982
2142857.143,8.315237726
2000000,8.102410634
1875000,7.911065204
1764705.882,7.73794129
1666666.667,7.58042563
1578947.368,7.436396153
1500000,7.304109696
1428571.429,7.182119549
1363636.364,7.069213881
1304347.826,6.964369088
1250000,6.866713965
1200000,6.775501863
1153846.154,6.690088805
1111111.111,6.609916118
1071428.571,6.534496514
1034482.759,6.463402847
1000000,6.396258953
967741.9355,6.332732134
937500,6.272526951
909090.9091,6.215380065
882352.9412,6.161055918
857142.8571,6.109343103
833333.3333,6.060051302
810810.8108,6.013008669
789473.6842,5.968059614
769230.7692,5.925062892
750000,5.883889959
731707.3171,5.844423559
714285.7143,5.806556489
697674.4186,5.770190526
681818.1818,5.735235497
666666.6667,5.701608457
652173.913,5.669232966
638297.8723,5.638038457
625000,5.607959673
612244.898,5.57893617
600000,5.550911876
588235.2941,5.523834697
576923.0769,5.497656164
566037.7358,5.472331121
555555.5556,5.447817442
545454.5455,5.424075775
535714.2857,5.401069321
526315.7895,5.378763621
517241.3793,5.357126372
508474.5763,5.336127263
500000,5.315737816
491803.2787,5.295931251
483870.9677,5.276682361
476190.4762,5.257967393
468750,5.239763947
461538.4615,5.222050876
454545.4545,5.204808203
447761.194,5.188017038
441176.4706,5.171659503
434782.6087,5.155718666
428571.4286,5.140178479
422535.2113,5.125023719
416666.6667,5.110239936
410958.9041,5.095813404
405405.4054,5.081731073
400000,5.067980534
394736.8421,5.054549971
389610.3896,5.041428134
384615.3846,5.0286043
379746.8354,5.016068242
375000,5.003810204
370370.3704,4.991820871
365853.6585,4.980091345
361445.7831,4.968613121
357142.8571,4.957378066
352941.1765,4.9463784
348837.2093,4.935606675
344827.5862,4.925055755
340909.0909,4.914718807
337078.6517,4.904589277
333333.3333,4.894660881
329670.3297,4.884927588
326086.9565,4.875383609
322580.6452,4.866023385
319148.9362,4.856841575
315789.4737,4.847833044
312500,4.838992857
309278.3505,4.830316263
306122.449,4.821798694
303030.303,4.81343575
300000,4.805223194
,
wl,k
3000000,5.278971914
2727272.727,5.04409582
2500000,4.838806521
2307692.308,4.657343953
2142857.143,4.495407735
2000000,4.349713152
1875000,4.217701889
1764705.882,4.097347529
1666666.667,3.987021184
1578947.368,3.88539643
1500000,3.791380656
1428571.429,3.704064547
1363636.364,3.622684315
1304347.826,3.546593026
1250000,3.475238547
1200000,3.408146388
1153846.154,3.344906182
1111111.111,3.285160949
1071428.571,3.228598473
1034482.759,3.174944327
1000000,3.12395618
967741.9355,3.075419124
937500,3.0291418
909090.9091,2.98495318
882352.9412,2.942699866
857142.8571,2.902243821
833333.3333,2.863460438
810810.8108,2.826236909
789473.6842,2.79047082
769230.7692,2.756068954
750000,2.72294625
731707.3171,2.691024912
714285.7143,2.660233622
697674.4186,2.630506868
681818.1818,2.601784348
666666.6667,2.574010447
652173.913,2.547133776
638297.8723,2.521106773
625000,2.495885341
612244.898,2.471428528
600000,2.447698246
588235.2941,2.424659016
576923.0769,2.402277748
566037.7358,2.38052353
555555.5556,2.359367451
545454.5455,2.33878244
535714.2857,2.31874311
526315.7895,2.299225635
517241.3793,2.280207622
508474.5763,2.261668001
500000,2.243586934
491803.2787,2.225945715
483870.9677,2.208726692
476190.4762,2.191913194
468750,2.175489457
461538.4615,2.159440564
454545.4545,2.143752388
447761.194,2.128411538
441176.4706,2.113405311
434782.6087,2.098721646
428571.4286,2.084349082
422535.2113,2.070276725
416666.6667,2.056494206
410958.9041,2.042991652
405405.4054,2.029759657
400000,2.016789253
394736.8421,2.004071882
389610.3896,1.991599374
384615.3846,1.979363926
379746.8354,1.967358079
375000,1.955574699
370370.3704,1.944006958
365853.6585,1.932648321
361445.7831,1.921492527
357142.8571,1.910533573
352941.1765,1.899765705
348837.2093,1.889183401
344827.5862,1.878781361
340909.0909,1.868554494
337078.6517,1.85849791
333333.3333,1.848606907
329670.3297,1.838876965
326086.9565,1.829303733
322580.6452,1.819883025
319148.9362,1.81061081
315789.4737,1.801483204
312500,1.792496466
309278.3505,1.783646987
306122.449,1.774931288
303030.303,1.766346013
300000,1.757887921
