wl,n
3000000,6.999077432
2727272.727,6.984510034
2500000,6.96876434
2307692.308,6.951891897
2142857.143,6.933946578
2000000,6.914984155
1875000,6.895061879
1764705.882,6.874238072
1666666.667,6.852571732
1578947.368,6.830122155
1500000,6.806948581
1428571.429,6.783109862
1363636.364,6.758664159
1304347.826,6.733668667
1250000,6.708179366
1200000,6.682250807
1153846.154,6.655935918
1111111.111,6.629285849
1071428.571,6.602349837
1034482.759,6.575175099
1000000,6.547806752
967741.9355,6.52028775
937500,6.492658853
909090.9091,6.464958599
882352.9412,6.437223313
857142.8571,6.409487113
833333.3333,6.381781942
810810.8108,6.354137606
789473.6842,6.326581825
769230.7692,6.299140288
750000,6.271836722
731707.3171,6.24469296
714285.7143,6.217729013
697674.4186,6.190963156
681818.1818,6.164411997
666666.6667,6.13809057
652173.913,6.112012406
638297.8723,6.086189621
625000,6.060632994
612244.898,6.035352047
600000,6.01035512
588235.2941,5.985649451
576923.0769,5.961241243
566037.7358,5.937135738
555555.5556,5.913337284
545454.5455,5.889849398
535714.2857,5.866674829
526315.7895,5.843815616
517241.3793,5.821273144
508474.5763,5.799048195
500000,5.777141001
491803.2787,5.755551287
483870.9677,5.734278319
476190.4762,5.713320943
468750,5.692677621
461538.4615,5.672346474
454545.4545,5.652325311
447761.194,5.63261166
441176.4706,5.613202801
434782.6087,5.59409579
428571.4286,5.575287486
422535.2113,5.556774573
416666.6667,5.538553584
410958.9041,5.520620919
405405.4054,5.502972861
400000,5.485605602
394736.8421,5.468515247
389610.3896,5.451697836
384615.3846,5.435149356
379746.8354,5.418865752
375000,5.402842936
370370.3704,5.3870768
365853.6585,5.371563227
361445.7831,5.356298093
357142.8571,5.341277279
352941.1765,5.326496679
348837.2093,5.3119522
344827.5862,5.297639776
340909.0909,5.283555365
337078.6517,5.269694958
333333.3333,5.256054584
329670.3297,5.242630307
326086.9565,5.229418238
322580.6452,5.216414529
319148.9362,5.203615383
315789.4737,5.191017051
312500,5.178615834
309278.3505,5.166408089
306122.449,5.154390224
303030.303,5.142558704
300000,5.130910048
,
wl,k
3000000,0.57726835
2727272.727,0.631803701
2500000,0.685477313
2307692.308,0.738232204
2142857.143,0.790016163
2000000,0.84078185
1875000,0.890486857
1764705.882,0.939093714
1666666.667,0.986569854
1578947.368,1.032887538
1500000,1.078023745
1428571.429,1.121960024
1363636.364,1.164682325
1304347.826,1.206180802
1250000,1.246449598
1200000,1.285486617
1153846.154,1.32329328
1111111.111,1.359874279
1071428.571,1.395237324
1034482.759,1.429392892
1000000,1.462353973
967741.9355,1.494135824
937500,1.524755733
909090.9091,1.554232781
882352.9412,1.582587625
857142.8571,1.60984228
833333.3333,1.636019926
810810.8108,1.661144712
789473.6842,1.685241588
769230.7692,1.708336132
750000,1.730454408
731707.3171,1.751622821
714285.7143,1.771867993
697674.4186,1.791216647
681818.1818,1.809695504
666666.6667,1.827331188
652173.913,1.844150146
638297.8723,1.860178569
625000,1.875442334
612244.898,1.889966942
600000,1.903777474
588235.2941,1.916898546
576923.0769,1.929354274
566037.7358,1.941168249
555555.5556,1.952363508
545454.5455,1.962962521
535714.2857,1.972987171
526315.7895,1.982458748
517241.3793,1.991397941
508474.5763,1.999824836
500000,2.007758911
491803.2787,2.015219045
483870.9677,2.022223515
476190.4762,2.028790007
468750,2.034935619
461538.4615,2.040676875
454545.4545,2.046029731
447761.194,2.05100959
441176.4706,2.05563131
434782.6087,2.059909218
428571.4286,2.063857124
422535.2113,2.067488335
416666.6667,2.070815667
410958.9041,2.073851459
405405.4054,2.076607589
400000,2.079095488
394736.8421,2.081326151
389610.3896,2.083310155
384615.3846,2.08505767
379746.8354,2.086578475
375000,2.087881968
370370.3704,2.088977185
365853.6585,2.089872806
361445.7831,2.090577174
357142.8571,2.091098304
352941.1765,2.091443894
348837.2093,2.09162134
344827.5862,2.091637746
340909.0909,2.091499934
337078.6517,2.091214456
333333.3333,2.090787604
329670.3297,2.09022542
326086.9565,2.089533707
322580.6452,2.088718035
319148.9362,2.087783753
315789.4737,2.086735999
312500,2.085579704
309278.3505,2.084319603
306122.449,2.082960244
303030.303,2.081505992
300000,2.079961038
