wl,n
3000000,7.678317093
2727272.727,7.413504203
2500000,7.180108674
2307692.308,6.972223483
2142857.143,6.785403159
2000000,6.616227096
1875000,6.462012922
1764705.882,6.320622423
1666666.667,6.190326602
1578947.368,6.069709633
1500000,5.9575991
1428571.429,5.853014401
1363636.364,5.755127963
1304347.826,5.663235665
1250000,5.576733988
1200000,5.495102149
1153846.154,5.417887976
1111111.111,5.344696637
1071428.571,5.275181562
1034482.759,5.209037066
1000000,5.145992313
967741.9355,5.085806332
937500,5.028263894
909090.9091,4.973172049
882352.9412,4.920357237
857142.8571,4.869662827
833333.3333,4.820947048
810810.8108,4.774081203
789473.6842,4.728948157
769230.7692,4.68544102
750000,4.64346202
731707.3171,4.602921517
714285.7143,4.563737149
697674.4186,4.525833088
681818.1818,4.489139378
666666.6667,4.453591364
652173.913,4.41912918
638297.8723,4.385697302
625000,4.353244146
612244.898,4.321721716
600000,4.291085285
588235.2941,4.261293115
576923.0769,4.2323062
566037.7358,4.204088042
555555.5556,4.176604442
545454.5455,4.149823322
535714.2857,4.123714551
526315.7895,4.098249799
517241.3793,4.073402399
508474.5763,4.049147222
500000,4.025460566
491803.2787,4.002320049
483870.9677,3.979704519
476190.4762,3.957593967
468750,3.935969447
461538.4615,3.914813006
454545.4545,3.894107615
447761.194,3.873837111
441176.4706,3.853986138
434782.6087,3.8345401
428571.4286,3.815485108
422535.2113,3.796807939
416666.6667,3.778495995
410958.9041,3.760537265
405405.4054,3.742920289
400000,3.72563413
394736.8421,3.708668336
389610.3896,3.692012919
384615.3846,3.675658328
379746.8354,3.659595419
375000,3.643815441
370370.3704,3.628310009
365853.6585,3.613071083
361445.7831,3.598090957
357142.8571,3.583362233
352941.1765,3.568877812
348837.2093,3.554630874
344827.5862,3.540614864
340909.0909,3.526823485
337078.6517,3.513250675
333333.3333,3.499890606
329670.3297,3.486737663
326086.9565,3.473786443
322580.6452,3.461031738
319148.9362,3.448468528
315789.4737,3.436091974
312500,3.423897408
309278.3505,3.411880324
306122.449,3.400036376
303030.303,3.388361364
300000,3.376851231

wl,k
3000000,3.158048017
2727272.727,3.066931268
2500000,2.986006865
2307692.308,2.913418545
2142857.143,2.847759546
2000000,2.787940449
1875000,2.73310185
1764705.882,2.682554882
1666666.667,2.635739613
1578947.368,2.59219529
1500000,2.551538611
1428571.429,2.513447586
1363636.364,2.477649344
1304347.826,2.443910805
1250000,2.412031438
1200000,2.381837579
1153846.154,2.353177923
1111111.111,2.325919916
1071428.571,2.299946836
1034482.759,2.275155414
1000000,2.251453885
967741.9355,2.228760369
937500,2.207001531
909090.9091,2.186111453
882352.9412,2.166030685
857142.8571,2.146705446
833333.3333,2.128086933
810810.8108,2.110130742
789473.6842,2.092796366
769230.7692,2.076046756
750000,2.05984795
731707.3171,2.044168744
714285.7143,2.028980411
697674.4186,2.014256444
681818.1818,1.999972346
666666.6667,1.986105429
652173.913,1.972634646
638297.8723,1.959540442
625000,1.946804617
612244.898,1.934410205
600000,1.922341369
588235.2941,1.910583305
576923.0769,1.899122157
566037.7358,1.887944934
555555.5556,1.87703945
545454.5455,1.866394251
535714.2857,1.855998566
526315.7895,1.845842249
517241.3793,1.835915738
508474.5763,1.826210008
500000,1.816716533
491803.2787,1.807427253
483870.9677,1.798334539
476190.4762,1.789431163
468750,1.780710275
461538.4615,1.772165372
454545.4545,1.76379028
447761.194,1.75557913
441176.4706,1.747526339
434782.6087,1.739626595
428571.4286,1.731874835
422535.2113,1.724266234
416666.6667,1.716796191
410958.9041,1.709460311
405405.4054,1.702254399
400000,1.695174443
394736.8421,1.688216608
389610.3896,1.681377224
384615.3846,1.674652778
379746.8354,1.668039901
375000,1.661535368
370370.3704,1.655136083
365853.6585,1.648839077
361445.7831,1.6426415
357142.8571,1.636540612
352941.1765,1.630533783
348837.2093,1.624618482
344827.5862,1.618792276
340909.0909,1.613052823
337078.6517,1.607397868
333333.3333,1.60182524
329670.3297,1.596332847
326086.9565,1.590918672
322580.6452,1.585580769
319148.9362,1.580317262
315789.4737,1.57512634
312500,1.570006256
309278.3505,1.564955319
306122.449,1.559971899
303030.303,1.555054419
300000,1.550201354
