wl,n
3000000,10.9298774
2727272.727,10.486451
2500000,10.10207157
2307692.308,9.765016836
2142857.143,9.466565977
2000000,9.200080433
1875000,8.960406657
1764705.882,8.743475549
1666666.667,8.546026365
1578947.368,8.36541187
1500000,8.199457907
1428571.429,8.046360311
1363636.364,7.904607976
1304347.826,7.772924578
1250000,7.650223851
1200000,7.535574827
1153846.154,7.428174534
1111111.111,7.327326326
1071428.571,7.232422533
1034482.759,7.142930432
1000000,7.058380833
967741.9355,6.978358711
937500,6.902495471
909090.9091,6.830462515
882352.9412,6.761965863
857142.8571,6.696741637
833333.3333,6.634552232
810810.8108,6.575183071
789473.6842,6.518439835
769230.7692,6.464146085
750000,6.412141217
731707.3171,6.362278698
714285.7143,6.314424529
697674.4186,6.268455912
681818.1818,6.224260086
666666.6667,6.181733305
652173.913,6.140779938
638297.8723,6.101311682
625000,6.06324686
612244.898,6.026509802
600000,5.991030294
588235.2941,5.956743089
576923.0769,5.923587465
566037.7358,5.891506838
555555.5556,5.860448408
545454.5455,5.830362845
535714.2857,5.801204
526315.7895,5.772928655
517241.3793,5.745496286
508474.5763,5.718868857
500000,5.693010626
491803.2787,5.667887974
483870.9677,5.643469248
476190.4762,5.619724615
468750,5.596625936
461538.4615,5.57414664
454545.4545,5.552261619
447761.194,5.530947126
441176.4706,5.510180684
434782.6087,5.489940998
428571.4286,5.470207883
422535.2113,5.450962183
416666.6667,5.432185717
410958.9041,5.413861205
405405.4054,5.395972221
400000,5.378503137
394736.8421,5.361439074
389610.3896,5.344765857
384615.3846,5.328469977
379746.8354,5.312538547
375000,5.296959269
370370.3704,5.281720398
365853.6585,5.266810716
361445.7831,5.252219496
357142.8571,5.23793648
352941.1765,5.22395185
348837.2093,5.210256209
344827.5862,5.196840552
340909.0909,5.18369625
337078.6517,5.170815031
333333.3333,5.158188958
329670.3297,5.145810415
326086.9565,5.13367209
322580.6452,5.121766958
319148.9362,5.110088269
315789.4737,5.098629537
312500,5.087384519
309278.3505,5.076347213
306122.449,5.06551184
303030.303,5.054872836
300000,5.044424843
,
wl,k
3000000,5.87045313
2727272.727,5.597257441
2500000,5.358966003
2307692.308,5.148727994
2142857.143,4.96143844
2000000,4.793204909
1875000,4.641000697
1764705.882,4.502432019
1666666.667,4.375577419
1578947.368,4.258874323
1500000,4.151037217
1428571.429,4.050997522
1363636.364,3.957858693
1304347.826,3.870862164
1250000,3.789361201
1200000,3.712800557
1153846.154,3.640700479
1111111.111,3.572644002
1071428.571,3.508266765
1034482.759,3.447248775
1000000,3.389307695
967741.9355,3.334193327
937500,3.281683064
909090.9091,3.23157809
882352.9412,3.183700213
857142.8571,3.137889188
833333.3333,3.094000464
810810.8108,3.051903259
789473.6842,3.011478914
769230.7692,2.972619494
750000,2.935226565
731707.3171,2.899210151
714285.7143,2.864487819
697674.4186,2.830983885
681818.1818,2.798628721
666666.6667,2.767358144
652173.913,2.737112885
638297.8723,2.707838109
625000,2.679483002
612244.898,2.652000398
600000,2.625346451
588235.2941,2.599480338
576923.0769,2.574363997
566037.7358,2.549961892
555555.5556,2.526240801
545454.5455,2.503169625
535714.2857,2.48071922
526315.7895,2.458862237
517241.3793,2.437572986
508474.5763,2.416827306
500000,2.396602454
491803.2787,2.376876996
483870.9677,2.357630712
476190.4762,2.33884451
468750,2.320500348
461538.4615,2.302581159
454545.4545,2.285070782
447761.194,2.267953906
441176.4706,2.25121601
434782.6087,2.234843312
428571.4286,2.218822723
422535.2113,2.203141801
416666.6667,2.187788709
410958.9041,2.172752183
405405.4054,2.15802149
400000,2.143586401
394736.8421,2.129437161
389610.3896,2.115564459
384615.3846,2.101959402
379746.8354,2.088613493
375000,2.075518608
370370.3704,2.062666976
365853.6585,2.050051158
361445.7831,2.037664028
357142.8571,2.025498761
352941.1765,2.013548812
348837.2093,2.001807902
344827.5862,1.990270008
340909.0909,1.978929346
337078.6517,1.96778036
333333.3333,1.95681771
329670.3297,1.946036263
326086.9565,1.935431082
322580.6452,1.924997415
319148.9362,1.914730689
315789.4737,1.904626499
312500,1.8946806
309278.3505,1.884888904
306122.449,1.875247465
303030.303,1.86575248
300000,1.856400279
