wl,n
3000000,9.978294081
2727272.727,9.598237886
2500000,9.268608446
2307692.308,8.979426139
2142857.143,8.72325972
2000000,8.494447655
1875000,8.288591643
1764705.882,8.102216624
1666666.667,7.932536242
1578947.368,7.777287183
1500000,7.634609706
1428571.429,7.50295988
1363636.364,7.381044045
1304347.826,7.267769143
1250000,7.162204574
1200000,7.063552539
1153846.154,6.971124738
1111111.111,6.884323861
1071428.571,6.802628761
1034482.759,6.725582474
1000000,6.652782452
967741.9355,6.583872557
937500,6.518536437
909090.9091,6.456492028
882352.9412,6.397486946
857142.8571,6.341294619
833333.3333,6.287711009
810810.8108,6.236551835
789473.6842,6.187650195
769230.7692,6.140854529
750000,6.096026871
731707.3171,6.053041328
714285.7143,6.01178277
697674.4186,5.972145683
681818.1818,5.934033171
666666.6667,5.897356078
652173.913,5.86203222
638297.8723,5.827985705
625000,5.795146334
612244.898,5.763449065
600000,5.732833547
588235.2941,5.703243692
576923.0769,5.674627305
566037.7358,5.646935744
555555.5556,5.620123616
545454.5455,5.594148514
535714.2857,5.568970762
526315.7895,5.544553204
517241.3793,5.520861
508474.5763,5.497861446
500000,5.475523812
491803.2787,5.453819192
483870.9677,5.432720369
476190.4762,5.412201692
468750,5.392238965
461538.4615,5.37280934
454545.4545,5.353891228
447761.194,5.335464209
441176.4706,5.317508953
434782.6087,5.300007149
428571.4286,5.282941438
422535.2113,5.266295349
416666.6667,5.250053244
410958.9041,5.234200266
405405.4054,5.218722286
400000,5.203605865
394736.8421,5.188838206
389610.3896,5.174407121
384615.3846,5.160300988
379746.8354,5.146508725
375000,5.133019755
370370.3704,5.119823978
365853.6585,5.106911743
361445.7831,5.094273825
357142.8571,5.081901401
352941.1765,5.069786026
348837.2093,5.057919616
344827.5862,5.046294428
340909.0909,5.034903038
337078.6517,5.023738331
333333.3333,5.012793479
329670.3297,5.002061931
326086.9565,4.991537396
322580.6452,4.981213833
319148.9362,4.971085434
315789.4737,4.961146619
312500,4.951392017
309278.3505,4.941816466
306122.449,4.932414992
303030.303,4.92318281
300000,4.914115309
,
wl,k
3000000,7.386904139
2727272.727,7.060697079
2500000,6.775478029
2307692.308,6.523279138
2142857.143,6.298149627
2000000,6.095542712
1875000,5.911916053
1764705.882,5.744463021
1666666.667,5.590926986
1578947.368,5.449469904
1500000,5.318577382
1428571.429,5.196988808
1363636.364,5.083645105
1304347.826,4.977649049
1250000,4.878234758
1200000,4.78474393
1153846.154,4.696607135
1111111.111,4.61332894
1071428.571,4.534475972
1034482.759,4.459667255
1000000,4.388566321
967741.9355,4.320874736
937500,4.256326736
909090.9091,4.194684758
882352.9412,4.135735704
857142.8571,4.07928779
833333.3333,4.025167873
810810.8108,3.973219185
789473.6842,3.923299389
769230.7692,3.875278913
750000,3.829039515
731707.3171,3.784473034
714285.7143,3.741480313
697674.4186,3.699970253
681818.1818,3.659858994
666666.6667,3.621069185
652173.913,3.583529352
638297.8723,3.547173334
625000,3.511939781
612244.898,3.477771721
600000,3.444616158
588235.2941,3.412423724
576923.0769,3.381148368
566037.7358,3.350747071
555555.5556,3.321179596
545454.5455,3.292408258
535714.2857,3.264397723
526315.7895,3.237114817
517241.3793,3.210528366
508474.5763,3.184609037
500000,3.159329204
491803.2787,3.134662819
483870.9677,3.110585303
476190.4762,3.087073435
468750,3.064105261
461538.4615,3.041660006
454545.4545,3.01971799
447761.194,2.998260559
441176.4706,2.977270017
434782.6087,2.95672956
428571.4286,2.936623222
422535.2113,2.916935822
416666.6667,2.897652912
410958.9041,2.878760737
405405.4054,2.860246186
400000,2.842096761
394736.8421,2.824300535
389610.3896,2.806846122
384615.3846,2.789722646
379746.8354,2.772919708
375000,2.756427363
370370.3704,2.740236096
365853.6585,2.724336793
361445.7831,2.708720726
357142.8571,2.693379526
352941.1765,2.67830517
348837.2093,2.663489957
344827.5862,2.648926498
340909.0909,2.634607692
337078.6517,2.620526721
333333.3333,2.606677027
329670.3297,2.593052306
326086.9565,2.57964649
322580.6452,2.566453739
319148.9362,2.553468432
315789.4737,2.540685151
312500,2.528098675
309278.3505,2.515703972
306122.449,2.503496188
303030.303,2.49147064
300000,2.479622808
