wl,n
3000000,5.699041344
2727272.727,5.689842698
2500000,5.679904867
2307692.308,5.669261522
2142857.143,5.657947818
2000000,5.646000115
1875000,5.633455701
1764705.882,5.620352514
1666666.667,5.606728886
1578947.368,5.592623294
1500000,5.578074122
1428571.429,5.563119447
1363636.364,5.547796839
1304347.826,5.532143183
1250000,5.516194515
1200000,5.499985884
1153846.154,5.483551229
1111111.111,5.466923281
1071428.571,5.450133473
1034482.759,5.43321188
1000000,5.416187164
967741.9355,5.399086543
937500,5.381935769
909090.9091,5.36475912
882352.9412,5.347579404
857142.8571,5.330417971
833333.3333,5.313294737
810810.8108,5.296228213
789473.6842,5.279235541
769230.7692,5.262332537
750000,5.245533735
731707.3171,5.228852436
714285.7143,5.212300763
697674.4186,5.195889711
681818.1818,5.179629206
666666.6667,5.163528155
652173.913,5.147594505
638297.8723,5.131835299
625000,5.116256727
612244.898,5.100864179
600000,5.0856623
588235.2941,5.070655039
576923.0769,5.055845694
566037.7358,5.041236962
555555.5556,5.026830984
545454.5455,5.012629383
535714.2857,4.99863331
526315.7895,4.984843477
517241.3793,4.971260197
508474.5763,4.957883418
500000,4.944712751
491803.2787,4.931747506
483870.9677,4.918986717
476190.4762,4.906429168
468750,4.894073422
461538.4615,4.881917836
454545.4545,4.869960591
447761.194,4.858199708
441176.4706,4.846633065
434782.6087,4.835258418
428571.4286,4.824073412
422535.2113,4.813075601
416666.6667,4.802262456
410958.9041,4.791631383
405405.4054,4.781179728
400000,4.770904792
394736.8421,4.76080384
389610.3896,4.750874107
384615.3846,4.741112809
379746.8354,4.731517149
375000,4.722084322
370370.3704,4.712811524
365853.6585,4.703695954
361445.7831,4.694734822
357142.8571,4.68592535
352941.1765,4.67726478
348837.2093,4.668750372
344827.5862,4.660379413
340909.0909,4.652149215
337078.6517,4.644057121
333333.3333,4.636100505
329670.3297,4.628276772
326086.9565,4.620583364
322580.6452,4.613017759
319148.9362,4.605577473
315789.4737,4.598260057
312500,4.591063105
309278.3505,4.583984249
306122.449,4.57702116
303030.303,4.570171552
300000,4.563433177
,
wl,k
3000000,0.413980588
2727272.727,0.453089915
2500000,0.491581257
2307692.308,0.529413751
2142857.143,0.566549952
2000000,0.602955913
1875000,0.638601221
1764705.882,0.673459004
1666666.667,0.707505908
1578947.368,0.740722041
1500000,0.773090893
1428571.429,0.804599231
1363636.364,0.835236981
1304347.826,0.864997081
1250000,0.893875332
1200000,0.921870229
1153846.154,0.948982792
1111111.111,0.975216386
1071428.571,1.00057654
1034482.759,1.025070767
1000000,1.048708383
967741.9355,1.07150033
937500,1.093459005
909090.9091,1.114598091
882352.9412,1.134932403
857142.8571,1.15447773
833333.3333,1.173250692
810810.8108,1.191268611
789473.6842,1.208549375
769230.7692,1.225111332
750000,1.240973169
731707.3171,1.256153825
714285.7143,1.27067239
697674.4186,1.284548029
681818.1818,1.297799904
666666.6667,1.310447109
652173.913,1.322508608
638297.8723,1.334003186
625000,1.344949399
612244.898,1.355365536
600000,1.365269582
588235.2941,1.37467919
576923.0769,1.383611656
566037.7358,1.392083896
555555.5556,1.400112433
545454.5455,1.407713378
535714.2857,1.414902427
526315.7895,1.421694847
517241.3793,1.428105475
508474.5763,1.434148714
500000,1.439838535
491803.2787,1.445188474
483870.9677,1.45021164
476190.4762,1.454920715
468750,1.459327962
461538.4615,1.46344523
454545.4545,1.467283962
447761.194,1.470855204
441176.4706,1.474169611
434782.6087,1.477237458
428571.4286,1.480068648
422535.2113,1.482672724
416666.6667,1.485058878
410958.9041,1.487235957
405405.4054,1.489212481
400000,1.490996645
394736.8421,1.492596337
389610.3896,1.49401914
384615.3846,1.495272348
379746.8354,1.496362973
375000,1.497297757
370370.3704,1.498083177
365853.6585,1.498725461
361445.7831,1.499230589
357142.8571,1.499604311
352941.1765,1.499852146
348837.2093,1.499979399
344827.5862,1.499991165
340909.0909,1.499892335
337078.6517,1.499687608
333333.3333,1.499381496
329670.3297,1.498978333
326086.9565,1.49848228
322580.6452,1.497897331
319148.9362,1.497227323
315789.4737,1.49647594
312500,1.495646718
309278.3505,1.494743053
306122.449,1.493768206
303030.303,1.492725307
300000,1.491617364
