wl,n
3000000,6.704019585
2727272.727,6.703142971
2500000,6.702183703
2307692.308,6.701142006
2142857.143,6.700018127
2000000,6.698812328
1875000,6.697524891
1764705.882,6.696156119
1666666.667,6.694706329
1578947.368,6.693175858
1500000,6.691565064
1428571.429,6.689874317
1363636.364,6.688104009
1304347.826,6.686254547
1250000,6.684326355
1200000,6.682319876
1153846.154,6.680235566
1111111.111,6.678073899
1071428.571,6.675835366
1034482.759,6.673520471
1000000,6.671129735
967741.9355,6.668663694
937500,6.666122899
909090.9091,6.663507913
882352.9412,6.660819316
857142.8571,6.658057699
833333.3333,6.655223669
810810.8108,6.652317845
789473.6842,6.649340856
769230.7692,6.646293349
750000,6.643175977
731707.3171,6.639989408
714285.7143,6.636734321
697674.4186,6.633411404
681818.1818,6.630021359
666666.6667,6.626564893
652173.913,6.623042728
638297.8723,6.619455592
625000,6.615804222
612244.898,6.612089366
600000,6.608311778
588235.2941,6.604472222
576923.0769,6.600571466
566037.7358,6.596610288
555555.5556,6.592589472
545454.5455,6.588509808
535714.2857,6.584372092
526315.7895,6.580177126
517241.3793,6.575925717
508474.5763,6.571618677
500000,6.567256822
491803.2787,6.562840972
483870.9677,6.558371952
476190.4762,6.553850588
468750,6.549277712
461538.4615,6.544654157
454545.4545,6.539980757
447761.194,6.535258351
441176.4706,6.530487779
434782.6087,6.525669879
428571.4286,6.520805495
422535.2113,6.515895467
416666.6667,6.510940639
410958.9041,6.505941853
405405.4054,6.500899952
400000,6.495815776
394736.8421,6.490690167
389610.3896,6.485523965
384615.3846,6.480318007
379746.8354,6.475073131
375000,6.46979017
370370.3704,6.464469957
365853.6585,6.459113321
361445.7831,6.45372109
357142.8571,6.448294087
352941.1765,6.442833132
348837.2093,6.437339043
344827.5862,6.431812633
340909.0909,6.426254711
337078.6517,6.420666083
333333.3333,6.415047549
329670.3297,6.409399905
326086.9565,6.403723942
322580.6452,6.398020448
319148.9362,6.392290203
315789.4737,6.386533983
312500,6.380752558
309278.3505,6.374946694
306122.449,6.369117148
303030.303,6.363264675
300000,6.35739002

wl,k
3000000,0.136717106
2727272.727,0.150339607
2500000,0.163948099
2307692.308,0.177541332
2142857.143,0.191118061
2000000,0.204677047
1875000,0.21821706
1764705.882,0.231736875
1666666.667,0.245235275
1578947.368,0.258711054
1500000,0.272163011
1428571.429,0.285589957
1363636.364,0.29899071
1304347.826,0.3123641
1250000,0.325708967
1200000,0.339024161
1153846.154,0.352308542
1111111.111,0.365560985
1071428.571,0.378780374
1034482.759,0.391965607
1000000,0.405115592
967741.9355,0.418229252
937500,0.431305524
909090.9091,0.444343357
882352.9412,0.457341715
857142.8571,0.470299574
833333.3333,0.483215927
810810.8108,0.49608978
789473.6842,0.508920157
769230.7692,0.521706093
750000,0.534446641
731707.3171,0.54714087
714285.7143,0.559787864
697674.4186,0.572386724
681818.1818,0.584936565
666666.6667,0.597436523
652173.913,0.609885746
638297.8723,0.622283402
625000,0.634628674
612244.898,0.646920764
600000,0.659158891
588235.2941,0.671342289
576923.0769,0.683470213
566037.7358,0.695541933
555555.5556,0.707556737
545454.5455,0.719513933
535714.2857,0.731412843
526315.7895,0.74325281
517241.3793,0.755033193
508474.5763,0.76675337
500000,0.778412737
491803.2787,0.790010706
483870.9677,0.801546709
476190.4762,0.813020195
468750,0.824430631
461538.4615,0.835777502
454545.4545,0.84706031
447761.194,0.858278575
441176.4706,0.869431836
434782.6087,0.880519647
428571.4286,0.891541582
422535.2113,0.90249723
416666.6667,0.9133862
410958.9041,0.924208116
405405.4054,0.93496262
400000,0.945649371
394736.8421,0.956268043
389610.3896,0.966818331
384615.3846,0.977299942
379746.8354,0.987712601
375000,0.998056051
370370.3704,1.008330048
365853.6585,1.018534367
361445.7831,1.028668796
357142.8571,1.038733141
352941.1765,1.048727221
348837.2093,1.058650873
344827.5862,1.068503946
340909.0909,1.078286306
337078.6517,1.087997833
333333.3333,1.097638421
329670.3297,1.107207979
326086.9565,1.11670643
322580.6452,1.12613371
319148.9362,1.135489769
315789.4737,1.14477457
312500,1.153988091
309278.3505,1.163130321
306122.449,1.172201262
303030.303,1.181200928
300000,1.190129348
