wl,n
3000000,5.910465615
2727272.727,5.909291748
2500000,5.908008106
2307692.308,5.906615236
2142857.143,5.905113727
2000000,5.903504214
1875000,5.901787374
1764705.882,5.899963927
1666666.667,5.898034634
1578947.368,5.8960003
1500000,5.893861766
1428571.429,5.891619915
1363636.364,5.889275666
1304347.826,5.886829977
1250000,5.884283842
1200000,5.881638289
1153846.154,5.878894382
1111111.111,5.876053216
1071428.571,5.873115918
1034482.759,5.870083647
1000000,5.866957591
967741.9355,5.863738966
937500,5.860429015
909090.9091,5.857029009
882352.9412,5.85354024
857142.8571,5.849964027
833333.3333,5.846301709
810810.8108,5.842554647
789473.6842,5.838724222
769230.7692,5.834811832
750000,5.830818895
731707.3171,5.826746842
714285.7143,5.822597121
697674.4186,5.818371192
681818.1818,5.814070529
666666.6667,5.809696617
652173.913,5.805250948
638297.8723,5.800735027
625000,5.796150363
612244.898,5.791498474
600000,5.786780882
588235.2941,5.781999114
576923.0769,5.777154698
566037.7358,5.772249167
555555.5556,5.767284052
545454.5455,5.762260887
535714.2857,5.757181201
526315.7895,5.752046525
517241.3793,5.746858385
508474.5763,5.741618302
500000,5.736327794
491803.2787,5.730988372
483870.9677,5.725601541
476190.4762,5.720168799
468750,5.714691633
461538.4615,5.709171526
454545.4545,5.703609945
447761.194,5.698008353
441176.4706,5.692368197
434782.6087,5.686690914
428571.4286,5.680977929
422535.2113,5.675230654
416666.6667,5.669450485
410958.9041,5.663638808
405405.4054,5.657796992
400000,5.651926389
394736.8421,5.64602834
389610.3896,5.640104167
384615.3846,5.634155175
379746.8354,5.628182655
375000,5.622187878
370370.3704,5.616172101
365853.6585,5.610136559
361445.7831,5.604082473
357142.8571,5.598011043
352941.1765,5.591923452
348837.2093,5.585820865
344827.5862,5.579704426
340909.0909,5.573575261
337078.6517,5.567434478
333333.3333,5.561283164
329670.3297,5.555122389
326086.9565,5.548953201
322580.6452,5.54277663
319148.9362,5.536593687
315789.4737,5.530405361
312500,5.524212625
309278.3505,5.518016431
306122.449,5.51181771
303030.303,5.505617375
300000,5.499416321
,
wl,k
3000000,0.148658556
2727272.727,0.163429492
2500000,0.178173483
2307692.308,0.192888157
2142857.143,0.207571161
2000000,0.222220168
1875000,0.23683287
1764705.882,0.251406985
1666666.667,0.265940258
1578947.368,0.28043046
1500000,0.29487539
1428571.429,0.309272881
1363636.364,0.323620792
1304347.826,0.337917018
1250000,0.352159486
1200000,0.36634616
1153846.154,0.380475036
1111111.111,0.394544152
1071428.571,0.408551579
1034482.759,0.42249543
1000000,0.436373855
967741.9355,0.450185047
937500,0.463927239
909090.9091,0.477598706
882352.9412,0.491197764
857142.8571,0.504722775
833333.3333,0.518172143
810810.8108,0.531544315
789473.6842,0.544837786
769230.7692,0.558051092
750000,0.571182817
731707.3171,0.58423159
714285.7143,0.597196085
697674.4186,0.610075023
681818.1818,0.62286717
666666.6667,0.635571338
652173.913,0.648186387
638297.8723,0.660711221
625000,0.673144791
612244.898,0.685486096
600000,0.697734176
588235.2941,0.709888121
576923.0769,0.721947065
566037.7358,0.733910187
555555.5556,0.74577671
545454.5455,0.757545902
535714.2857,0.769217076
526315.7895,0.780789588
517241.3793,0.792262836
508474.5763,0.803636263
500000,0.814909353
491803.2787,0.826081631
483870.9677,0.837152663
476190.4762,0.848122058
468750,0.858989462
461538.4615,0.869754562
454545.4545,0.880417082
447761.194,0.890976786
441176.4706,0.901433474
434782.6087,0.911786982
428571.4286,0.922037184
422535.2113,0.932183986
416666.6667,0.942227331
410958.9041,0.952167195
405405.4054,0.962003585
400000,0.971736544
394736.8421,0.981366141
389610.3896,0.990892481
384615.3846,1.000315694
379746.8354,1.009635943
375000,1.018853416
370370.3704,1.02796833
365853.6585,1.036980929
361445.7831,1.045891481
357142.8571,1.05470028
352941.1765,1.063407645
348837.2093,1.072013918
344827.5862,1.080519462
340909.0909,1.088924665
337078.6517,1.097229934
333333.3333,1.105435697
329670.3297,1.113542401
326086.9565,1.121550514
322580.6452,1.129460519
319148.9362,1.137272918
315789.4737,1.144988232
312500,1.152606994
309278.3505,1.160129755
306122.449,1.16755708
303030.303,1.174889548
300000,1.182127751
